harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
boot,yes,no,909,rm,NA,40,0,5,12074,5.75,2018
red_pine,yes,no,920,rm,NA,60,0,5,12144,7.5,2018
red_pine,yes,no,938,co,NA,10,0,20,14141,8,2018
red_pine,no,no,933,co,NA,15,0,20,12088,5.5,2018
red_pine,yes,no,936,co,NA,15,0,0,14121,5.75,2018
boot,yes,no,911,rm,NA,25,0,30,12086,12.5,2018
red_pine,no,no,934,co,NA,15,0,70,12097,7,2018
boot,yes,no,912,rm,NA,65,0,5,12094,6,2018
boot,yes,no,910,rm,NA,30,0,30,12076,5.5,2018
red_pine,yes,no,921,rm,NA,30,0,20,14001,5.5,2018
red_pine,no,no,934,co,NA,15,0,70,12091,6,2018
red_pine,no,no,930,ro,NA,40,0,0,14051,7.5,2018
boot,yes,no,909,rm,NA,40,0,5,12069,6,2018
boot,yes,no,909,rm,NA,40,0,5,12072,6,2018
red_pine,yes,no,920,rm,NA,60,0,5,12140,7,2018
boot,yes,no,912,rm,NA,65,0,5,12090,5.75,2018
red_pine,yes,no,918,rm,NA,NA,NA,NA,12124,3,2018
boot,yes,no,911,rm,NA,25,0,30,12083,7,2018
red_pine,no,no,926,rm,NA,40,0,15,14038,8.5,2018
red_pine,yes,no,917,rm,NA,5,0,25,12129,6.75,2018
red_pine,no,no,927,rm,NA,70,0,0,14040,4.75,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14020,5,2018
red_pine,no,no,934,co,NA,15,0,70,12095,7,2018
red_pine,no,no,933,co,NA,15,0,20,12086,6.5,2018
red_pine,yes,no,918,rm,NA,NA,NA,NA,12125,3.5,2018
red_pine,no,no,926,ro,NA,40,0,15,14043,6,2018
red_pine,no,no,926,ro,NA,40,0,15,14042,7.5,2018
red_pine,no,no,935,co,NA,20,0,50,14110,7,2018
red_pine,no,no,935,co,NA,20,0,50,14112,5.5,2018
red_pine,no,no,928,ro,NA,30,0,20,14047,4.5,2018
red_pine,yes,no,917,rm,NA,5,0,25,12127,6,2018
red_pine,no,no,934,co,NA,15,0,70,12094,4.5,2018
red_pine,yes,no,917,rm,NA,5,0,25,12132,6,2018
red_pine,yes,no,918,ro,NA,NA,NA,NA,12122,7.5,2018
boot,yes,no,912,rm,NA,65,0,5,12092,6,2018
red_pine,no,no,933,co,NA,15,0,20,12080,3.5,2018
red_pine,no,no,933,co,NA,15,0,20,12082,4,2018
red_pine,yes,no,919,ro,NA,75,0,0,14033,3.5,2018
boot,yes,no,909,rm,NA,40,0,5,12067,6,2018
red_pine,yes,no,917,ro,NA,5,0,25,12130,4.75,2018
boot,yes,no,912,rm,NA,65,0,5,12095,5.5,2018
red_pine,no,no,933,co,NA,15,0,20,12087,4,2018
boot,no,no,914,rm,NA,20,0,20,12100,4.5,2018
red_pine,yes,no,920,rm,NA,60,0,5,12139,5,2018
red_pine,yes,no,917,rm,NA,5,0,25,12131,3.5,2018
red_pine,no,no,928,rm,NA,30,0,20,14045,3,2018
boot,no,no,914,rm,NA,20,0,20,12099,3,2018
red_pine,yes,no,917,ro,NA,5,0,25,12128,5.5,2018
